,recall,cost,reliability,loss_er,rel_err,dataset,des_prob,des_recall,Model
CLEF2017_0.95-0.9-OR,0.923,0.057,1.000,0.009,0.026,CLEF2017,0.95,0.9,OR
CLEF2017_0.95-0.8-OR,0.834,0.043,1.000,0.033,0.042,CLEF2017,0.95,0.8,OR
CLEF2017_0.95-0.7-OR,0.744,0.034,1.000,0.074,0.063,CLEF2017,0.95,0.7,OR
CLEF2018_0.95-0.9-OR,0.912,0.067,1.000,0.010,0.013,CLEF2018,0.95,0.9,OR
CLEF2018_0.95-0.8-OR,0.812,0.051,1.000,0.037,0.015,CLEF2018,0.95,0.8,OR
CLEF2018_0.95-0.7-OR,0.715,0.042,1.000,0.082,0.021,CLEF2018,0.95,0.7,OR
CLEF2019_0.95-0.9-OR,0.929,0.071,1.000,0.011,0.033,CLEF2019,0.95,0.9,OR
CLEF2019_0.95-0.8-OR,0.830,0.057,1.000,0.035,0.037,CLEF2019,0.95,0.8,OR
CLEF2019_0.95-0.7-OR,0.731,0.047,1.000,0.078,0.044,CLEF2019,0.95,0.7,OR
Legal_0.95-0.9-OR,0.900,0.040,1.000,0.010,0.000,Legal,0.95,0.9,OR
Legal_0.95-0.8-OR,0.801,0.026,1.000,0.040,0.001,Legal,0.95,0.8,OR
Legal_0.95-0.7-OR,0.700,0.019,1.000,0.090,0.000,Legal,0.95,0.7,OR
TR_0.95-0.9-OR,0.902,0.005,1.000,0.010,0.003,TR,0.95,0.9,OR
TR_0.95-0.8-OR,0.802,0.004,1.000,0.039,0.003,TR,0.95,0.8,OR
TR_0.95-0.7-OR,0.702,0.003,1.000,0.089,0.003,TR,0.95,0.7,OR
RCV1_0.95-0.9-OR,0.901,0.016,1.000,0.010,0.001,RCV1,0.95,0.9,OR
RCV1_0.95-0.8-OR,0.801,0.010,1.000,0.040,0.001,RCV1,0.95,0.8,OR
RCV1_0.95-0.7-OR,0.701,0.008,1.000,0.089,0.002,RCV1,0.95,0.7,OR
